Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.1_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.460165;0.0;0.999909;1;0.1633346;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-0.4_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];2.42549;0.335104;0.664815;1;0.6533384;
1;Comcast_mcf-TBE-Comcast-background-0.2_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];0.25;0.0;1.0;1;0.2420746;
1;Comcast_semimcfraekeft-TBE-Comcast-background-1.5_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];2.700278;0.545914;0.453974;1;1.8155595;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-1.5_0__-mcf;1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.6_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];2.88287;0.415966;0.583972;1;0.9800076;
1;Comcast_mcf-TE-Comcast-background-0.9_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.9;0.0;1.0;1;1.0893357;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.7_2__-mcf;1;Comcast_semimcfraekeft-TE-Comcast-background-1.0_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.545527;0.251091;0.74873;1;1.210373;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-1.2_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];5.558197;0.684088;0.315854;1;1.9600152;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-1.5_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];8.628553;0.792754;0.20718;1;2.450019;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.3_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.798378;0.0;1.0;1;0.4900038;
1;Comcast_semimcfraekeft-TBE-Comcast-background-1.1_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];2.012982;0.411557;0.588405;1;1.3314103;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-1.2_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];3.193511;0.54687;0.45313;1;1.9600152;
1;Comcast_semimcfraekeft-TBE-Comcast-background-0.4_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];0.765154;0.0;0.999978;1;0.4841492;
1;Comcast_mcf-TBE-Comcast-background-1.5_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.875;0.371238;0.628762;1;1.8155595;
