Network,Traffic,Demand Factor,Traffic Engineering,Topology Programming,Max Link Congestion,Congestion Loss,Throughput
Comcast,background,0.3,semimcfraekeft,TE,0.400836,0.0,0.999805
Comcast,background,0.4,semimcfraekeft,TE,0.603981,0.0,0.999933
Comcast,background,0.5,semimcfraekeft,TE,0.713179,0.0,0.999762
Comcast,background,0.6,semimcfraekeft,TE,0.869151,0.0,0.999942
Comcast,background,0.7,semimcfraekeft,TE,1.07416,0.028844,0.971007
Comcast,background,0.8,semimcfraekeft,TE,1.181821,0.081827,0.91815
Comcast,background,0.9,semimcfraekeft,TE,1.352146,0.107785,0.892172
Comcast,background,1.0,semimcfraekeft,TE,1.358328,0.158304,0.841667
Comcast,background,1.1,semimcfraekeft,TE,1.597274,0.291423,0.708406
Comcast,background,1.2,semimcfraekeft,TE,1.752488,0.34777,0.652115
Comcast,background,1.3,semimcfraekeft,TE,1.971295,0.391354,0.608554
Comcast,background,1.4,semimcfraekeft,TE,1.910288,0.415036,0.584903
Comcast,background,1.5,semimcfraekeft,TE,2.371038,0.48455,0.515316
Comcast,background-plus-flashcrowd,0.1,semimcfraekeft,TE,0.46577,0.0,0.999875
Comcast,background-plus-flashcrowd,0.2,semimcfraekeft,TE,0.923101,0.0,0.999912
Comcast,background-plus-flashcrowd,0.3,semimcfraekeft,TE,1.369198,0.13303,0.866784
Comcast,background-plus-flashcrowd,0.4,semimcfraekeft,TE,1.859917,0.220447,0.779463
Comcast,background-plus-flashcrowd,0.5,semimcfraekeft,TE,2.302168,0.312232,0.687689
Comcast,background-plus-flashcrowd,0.6,semimcfraekeft,TE,2.925233,0.416315,0.583603
Comcast,background-plus-flashcrowd,0.7,semimcfraekeft,TE,3.431494,0.495437,0.50452
Comcast,background-plus-flashcrowd,0.8,semimcfraekeft,TE,3.666858,0.545832,0.454071
Comcast,background-plus-flashcrowd,0.9,semimcfraekeft,TE,4.206666,0.597415,0.402504
Comcast,background-plus-flashcrowd,1.0,semimcfraekeft,TE,4.641457,0.629292,0.37063
Comcast,background-plus-flashcrowd,1.1,semimcfraekeft,TE,5.159135,0.655909,0.344013
Comcast,background-plus-flashcrowd,1.2,semimcfraekeft,TE,5.880039,0.680803,0.319142
Comcast,background-plus-flashcrowd,1.3,semimcfraekeft,TE,6.065635,0.707071,0.292863
Comcast,background-plus-flashcrowd,1.4,semimcfraekeft,TE,6.050516,0.715498,0.284487
Comcast,background-plus-flashcrowd,1.5,semimcfraekeft,TE,7.308549,0.748891,0.251065
Comcast,background,0.1,mcf,greylambda,0.1,0.0,1.0
Comcast,background,0.2,mcf,greylambda,0.2,0.0,1.0
Comcast,background,0.3,mcf,greylambda,0.3,0.0,1.0
Comcast,background,0.4,mcf,greylambda,0.4,0.0,1.0
Comcast,background,0.5,mcf,greylambda,0.5,0.0,1.0
Comcast,background,0.6,mcf,greylambda,0.6,0.0,1.0
Comcast,background,0.7,mcf,greylambda,0.7,0.0,1.0
Comcast,background,0.8,mcf,greylambda,0.8,0.0,1.0
Comcast,background,0.9,mcf,greylambda,0.9,0.0,1.0
Comcast,background,1.0,mcf,greylambda,1.0,0.0,1.0
Comcast,background,1.1,mcf,greylambda,1.1,0.065966,0.934034
Comcast,background,1.2,mcf,greylambda,1.2,0.122698,0.877302
Comcast,background,1.3,mcf,greylambda,1.3,0.172361,0.827639
Comcast,background,1.4,mcf,greylambda,1.4,0.217048,0.782952
Comcast,background,1.5,mcf,greylambda,1.5,0.247604,0.752396
Comcast,background-plus-flashcrowd,0.1,mcf,greylambda,0.266126,0.0,1.0
Comcast,background-plus-flashcrowd,0.2,mcf,greylambda,0.532252,0.0,1.0
Comcast,background-plus-flashcrowd,0.3,mcf,greylambda,0.798378,0.0,1.0
Comcast,background-plus-flashcrowd,0.4,mcf,greylambda,1.064504,0.04415,0.95585
Comcast,background-plus-flashcrowd,0.5,mcf,greylambda,1.33063,0.176019,0.823981
Comcast,background-plus-flashcrowd,0.6,mcf,greylambda,1.596755,0.269985,0.730015
Comcast,background-plus-flashcrowd,0.7,mcf,greylambda,1.862881,0.341632,0.658368
Comcast,background-plus-flashcrowd,0.8,mcf,greylambda,2.129007,0.400027,0.599973
Comcast,background-plus-flashcrowd,0.9,mcf,greylambda,2.395133,0.44484,0.55516
Comcast,background-plus-flashcrowd,1.0,mcf,greylambda,2.661259,0.487883,0.512117
Comcast,background-plus-flashcrowd,1.1,mcf,greylambda,2.927385,0.521647,0.478353
Comcast,background-plus-flashcrowd,1.2,mcf,greylambda,3.193511,0.552149,0.447851
Comcast,background-plus-flashcrowd,1.3,mcf,greylambda,3.459637,0.579524,0.420476
Comcast,background-plus-flashcrowd,1.4,mcf,greylambda,3.725763,0.602166,0.397834
Comcast,background-plus-flashcrowd,1.5,mcf,greylambda,3.991889,0.623436,0.376564
Comcast,background,0.1,mcf,TBE,0.125,0.0,1.0
Comcast,background,0.2,mcf,TBE,0.25,0.0,1.0
Comcast,background,0.3,mcf,TBE,0.375,0.0,1.0
Comcast,background,0.4,mcf,TBE,0.5,0.0,1.0
Comcast,background,0.5,mcf,TBE,0.625,0.0,1.0
Comcast,background,0.6,mcf,TBE,0.75,0.0,1.0
Comcast,background,0.7,mcf,TBE,0.875,0.0,1.0
Comcast,background,0.8,mcf,TBE,1.0,0.0,1.0
Comcast,background,0.9,mcf,TBE,1.125,0.081318,0.918682
Comcast,background,1.0,mcf,TBE,1.25,0.136718,0.863282
Comcast,background,1.1,mcf,TBE,1.375,0.195171,0.804829
Comcast,background,1.2,mcf,TBE,1.5,0.247508,0.752492
Comcast,background,1.3,mcf,TBE,1.625,0.29301,0.70699
Comcast,background,1.4,mcf,TBE,1.75,0.335102,0.664898
Comcast,background,1.5,mcf,TBE,1.875,0.371238,0.628762
Comcast,background-plus-flashcrowd,0.1,mcf,TBE,nan,0.0,0.0
Comcast,background-plus-flashcrowd,0.2,mcf,TBE,0.665315,0.0,1.0
Comcast,background-plus-flashcrowd,0.3,mcf,TBE,0.997972,0.0,1.0
Comcast,background-plus-flashcrowd,0.4,mcf,TBE,1.33063,0.174904,0.825096
Comcast,background-plus-flashcrowd,0.5,mcf,TBE,1.663287,0.276352,0.723648
Comcast,background-plus-flashcrowd,0.6,mcf,TBE,1.995944,0.371526,0.628474
Comcast,background-plus-flashcrowd,0.7,mcf,TBE,2.328602,0.434039,0.565961
Comcast,background-plus-flashcrowd,0.8,mcf,TBE,2.661259,0.476173,0.523827
Comcast,background-plus-flashcrowd,0.9,mcf,TBE,2.993916,0.531229,0.468771
Comcast,background-plus-flashcrowd,1.0,mcf,TBE,3.326574,0.56705,0.43295
Comcast,background-plus-flashcrowd,1.1,mcf,TBE,3.659231,0.596644,0.403356
Comcast,background-plus-flashcrowd,1.2,mcf,TBE,3.991889,0.624319,0.375681
Comcast,background-plus-flashcrowd,1.3,mcf,TBE,4.324546,0.647283,0.352717
Comcast,background-plus-flashcrowd,1.4,mcf,TBE,4.657203,0.66643,0.33357
Comcast,background-plus-flashcrowd,1.5,mcf,TBE,4.989861,0.684142,0.315858
Comcast,background,0.1,mcf,TE,0.1,0.0,1.0
Comcast,background,0.2,mcf,TE,0.2,0.0,1.0
Comcast,background,0.3,mcf,TE,0.3,0.0,1.0
Comcast,background,0.4,mcf,TE,0.4,0.0,1.0
Comcast,background,0.5,mcf,TE,0.5,0.0,1.0
Comcast,background,0.6,mcf,TE,0.6,0.0,1.0
Comcast,background,0.7,mcf,TE,0.7,0.0,1.0
Comcast,background,0.8,mcf,TE,0.8,0.0,1.0
Comcast,background,0.9,mcf,TE,0.9,0.0,1.0
Comcast,background,1.0,mcf,TE,1.0,0.0,1.0
Comcast,background,1.1,mcf,TE,1.1,0.065966,0.934034
Comcast,background,1.2,mcf,TE,1.2,0.122698,0.877302
Comcast,background,1.3,mcf,TE,1.3,0.159002,0.840998
Comcast,background,1.4,mcf,TE,1.4,0.217048,0.782952
Comcast,background,1.5,mcf,TE,1.5,0.256404,0.743596
Comcast,background-plus-flashcrowd,0.1,mcf,TE,0.266126,0.0,1.0
Comcast,background-plus-flashcrowd,0.2,mcf,TE,0.532252,0.0,1.0
Comcast,background-plus-flashcrowd,0.3,mcf,TE,0.798378,0.0,1.0
Comcast,background-plus-flashcrowd,0.4,mcf,TE,1.064504,0.04415,0.95585
Comcast,background-plus-flashcrowd,0.5,mcf,TE,1.33063,0.176019,0.823981
Comcast,background-plus-flashcrowd,0.6,mcf,TE,1.596755,0.269985,0.730015
Comcast,background-plus-flashcrowd,0.7,mcf,TE,1.862881,0.341632,0.658368
Comcast,background-plus-flashcrowd,0.8,mcf,TE,2.129007,0.400027,0.599973
Comcast,background-plus-flashcrowd,0.9,mcf,TE,2.395133,0.44484,0.55516
Comcast,background-plus-flashcrowd,1.0,mcf,TE,2.661259,0.487883,0.512117
Comcast,background-plus-flashcrowd,1.1,mcf,TE,2.927385,0.521647,0.478353
Comcast,background-plus-flashcrowd,1.2,mcf,TE,3.193511,0.552149,0.447851
Comcast,background-plus-flashcrowd,1.3,mcf,TE,3.459637,0.579524,0.420476
Comcast,background-plus-flashcrowd,1.4,mcf,TE,3.725763,0.602166,0.397834
Comcast,background-plus-flashcrowd,1.5,mcf,TE,3.991889,0.623436,0.376564
