1;('1','2')
2;('2','1')
3;('2','4')
4;('4','2')
5;('2','9')
6;('9','2')
7;('4','3')
8;('3','4')
9;('4','50')
10;('50','4')
11;('3','7')
12;('7','3')
13;('3','42')
14;('42','3')
15;('9','5')
16;('5','9')
17;('9','6')
18;('6','9')
19;('9','33')
20;('33','9')
21;('9','31')
22;('31','9')
23;('9','48')
24;('48','9')
25;('9','39')
26;('39','9')
27;('9','32')
28;('32','9')
29;('9','36')
30;('36','9')
31;('9','37')
32;('37','9')
33;('5','8')
34;('8','5')
35;('5','10')
36;('10','5')
37;('6','48')
38;('48','6')
39;('7','8')
40;('8','7')
41;('10','33')
42;('33','10')
43;('33','34')
44;('34','33')
45;('33','40')
46;('40','33')
47;('33','39')
48;('39','33')
49;('31','20')
50;('20','31')
51;('31','24')
52;('24','31')
53;('31','13')
54;('13','31')
55;('31','14')
56;('14','31')
57;('31','23')
58;('23','31')
59;('31','39')
60;('39','31')
61;('31','32')
62;('32','31')
63;('31','37')
64;('37','31')
65;('20','12')
66;('12','20')
67;('20','19')
68;('19','20')
69;('20','25')
70;('25','20')
71;('12','11')
72;('11','12')
73;('12','24')
74;('24','12')
75;('14','15')
76;('15','14')
77;('15','46')
78;('46','15')
79;('15','16')
80;('16','15')
81;('15','43')
82;('43','15')
83;('48','46')
84;('46','48')
85;('48','47')
86;('47','48')
87;('48','49')
88;('49','48')
89;('16','17')
90;('17','16')
91;('17','18')
92;('18','17')
93;('19','18')
94;('18','19')
95;('25','28')
96;('28','25')
97;('28','27')
98;('27','28')
99;('28','26')
100;('26','28')
101;('27','21')
102;('21','27')
103;('27','30')
104;('30','27')
105;('21','22')
106;('22','21')
107;('39','38')
108;('38','39')
109;('39','40')
110;('40','39')
111;('38','26')
112;('26','38')
113;('38','23')
114;('23','38')
115;('22','29')
116;('29','22')
117;('30','29')
118;('29','30')
119;('34','35')
120;('35','34')
121;('36','35')
122;('35','36')
123;('50','41')
124;('41','50')
125;('50','49')
126;('49','50')
127;('41','42')
128;('42','41')
129;('47','43')
130;('43','47')
131;('47','44')
132;('44','47')
133;('43','45')
134;('45','43')
135;('44','45')
136;('45','44')
